Time,Combo,Weight,Treatment,Diet,Mouse
-7,BBS/WD,16,BBS,WD,1
-7,BBS/WD,16,BBS,WD,2
-7,BBS/WD,14,BBS,WD,3
-7,BBS/WD,16,BBS,WD,4
-7,BBS/WD,14,BBS,WD,17
-7,BBS/WD,20,BBS,WD,18
-7,BBS/WD,21,BBS,WD,19
-7,BBS/WD,14,BBS,WD,20
-7,BBS/WD,14,BBS,WD,33
-7,BBS/WD,18,BBS,WD,34
-7,BBS/WD,19,BBS,WD,35
-7,BBS/WD,19,BBS,WD,36
-7,BBS/CD,18,BBS,CD,5
-7,BBS/CD,17,BBS,CD,6
-7,BBS/CD,16,BBS,CD,7
-7,BBS/CD,18,BBS,CD,8
-7,BBS/CD,14,BBS,CD,21
-7,BBS/CD,15,BBS,CD,22
-7,BBS/CD,16,BBS,CD,23
-7,BBS/CD,15,BBS,CD,24
-7,BBS/CD,18,BBS,CD,37
-7,BBS/CD,20,BBS,CD,38
-7,BBS/CD,20,BBS,CD,39
-7,BBS/CD,18,BBS,CD,40
-7,MV/WD,17,MV,WD,9
-7,MV/WD,16,MV,WD,10
-7,MV/WD,17,MV,WD,11
-7,MV/WD,19,MV,WD,12
-7,MV/WD,19,MV,WD,25
-7,MV/WD,16,MV,WD,26
-7,MV/WD,9,MV,WD,27
-7,MV/WD,19,MV,WD,28
-7,MV/WD,15,MV,WD,41
-7,MV/WD,16,MV,WD,42
-7,MV/WD,19,MV,WD,43
-7,MV/WD,18,MV,WD,44
-7,MV/CD,17,MV,CD,13
-7,MV/CD,11,MV,CD,14
-7,MV/CD,19,MV,CD,15
-7,MV/CD,12,MV,CD,16
-7,MV/CD,17,MV,CD,29
-7,MV/CD,19,MV,CD,30
-7,MV/CD,17,MV,CD,31
-7,MV/CD,15,MV,CD,32
-7,MV/CD,20,MV,CD,45
-7,MV/CD,18,MV,CD,46
-7,MV/CD,18,MV,CD,47
-7,MV/CD,20,MV,CD,48
0,BBS/WD,20,BBS,WD,1
0,BBS/WD,20,BBS,WD,2
0,BBS/WD,17,BBS,WD,3
0,BBS/WD,17,BBS,WD,4
0,BBS/WD,22,BBS,WD,17
0,BBS/WD,21,BBS,WD,18
0,BBS/WD,24,BBS,WD,19
0,BBS/WD,20,BBS,WD,20
0,BBS/WD,21,BBS,WD,33
0,BBS/WD,19,BBS,WD,34
0,BBS/WD,21,BBS,WD,35
0,BBS/WD,20,BBS,WD,36
0,BBS/CD,20,BBS,CD,5
0,BBS/CD,19,BBS,CD,6
0,BBS/CD,20,BBS,CD,7
