Mouse_Food,Time,Diet,Treatment,calories,Water_weight,Ratio_cal_weight,Ratio_wat_bodyweight
1,one,WD,BBS,94.5,,4.108695652,
2,one,WD,BBS,99,,4.304347826,
3,one,WD,BBS,94.5,,4.973684211,
4,one,WD,BBS,81,,4.764705882,
17,one,WD,BBS,108,28,4.909090909,1.272727273
18,one,WD,BBS,108,16,4.695652174,0.695652174
19,one,WD,BBS,117,21,4.5,0.807692308
20,one,WD,BBS,99,33,4.304347826,1.434782609
33,one,WD,BBS,103.5,22,4.704545455,1
34,one,WD,BBS,94.5,18,4.725,0.9
35,one,WD,BBS,112.5,18,4.6875,0.75
36,one,WD,BBS,108,18,4.32,0.72
5,one,CD,BBS,108,,4.695652174,
6,one,CD,BBS,105,,5,
7,one,CD,BBS,96,,4.571428571,
8,one,CD,BBS,96,,4.363636364,
21,one,CD,BBS,93,29,4.65,1.45
22,one,CD,BBS,108,31,4.909090909,1.409090909
23,one,CD,BBS,96,34,4,1.416666667
24,one,CD,BBS,96,29,4.363636364,1.318181818
37,one,CD,BBS,87,33,4.142857143,1.571428571
38,one,CD,BBS,96,27,3.84,1.08
39,one,CD,BBS,96,29,4,1.208333333
40,one,CD,BBS,81,23,3.857142857,1.095238095
9,one,WD,ATCC,99,,4.5,
10,one,WD,ATCC,108,,4.5,
11,one,WD,ATCC,112.5,,4.891304348,
12,one,WD,ATCC,130.5,,5.019230769,
25,one,WD,ATCC,103.5,23,4.3125,0.958333333
26,one,WD,ATCC,90,18,4.5,0.9
27,one,WD,ATCC,76.5,16,4.026315789,0.842105263
28,one,WD,ATCC,90,20,4.090909091,0.909090909
41,one,WD,ATCC,99,20,4.95,1
42,one,WD,ATCC,99,18,4.95,0.9
43,one,WD,ATCC,117,20,4.875,0.833333333
44,one,WD,ATCC,94.5,20,4.295454545,0.909090909
13,one,CD,ATCC,111,,5.55,
14,one,CD,ATCC,,,,
15,one,CD,ATCC,102,,4.25,
16,one,CD,ATCC,105,,5,
29,one,CD,ATCC,93,30,4.227272727,1.363636364
30,one,CD,ATCC,51,18,3.4,1.2
31,one,CD,ATCC,102,27,4.25,1.125
32,one,CD,ATCC,87,21,4.35,1.05
45,one,CD,ATCC,96,24,4.8,1.2
46,one,CD,ATCC,90,24,4.090909091,1.090909091
47,one,CD,ATCC,93,24,4.65,1.2
48,one,CD,ATCC,90,28,3.75,1.166666667
1,two,WD,BBS,90,21,3.6,0.84
2,two,WD,BBS,81,19,3.52173913,0.826086957
3,two,WD,BBS,81,11,4.05,0.55
4,two,WD,BBS,85.5,20,4.071428571,0.952380952
