Mouse,Time_Compare,Diet,Treatment,W_Uni_Dist,U_Uni_Dist,TreatDiet
1,1,WD,BBS,0.769466281,0.45210737,BBS - WD
1,2,WD,BBS,0.426301926,0.226403669,BBS - WD
1,3,WD,BBS,0.374900728,0.206418708,BBS - WD
10,1,WD,MV,0.581716895,0.50733459,M. vaccae - WD
10,2,WD,MV,0.448251605,0.164536923,M. vaccae - WD
10,3,WD,MV,0.340436786,0.195749477,M. vaccae - WD
11,1,WD,MV,0.751532793,0.414885283,M. vaccae - WD
11,2,WD,MV,0.407792807,0.313353658,M. vaccae - WD
11,3,WD,MV,0.313997388,0.163840041,M. vaccae - WD
12,1,WD,MV,0.701235354,0.380257547,M. vaccae - WD
12,2,WD,MV,0.312162608,0.181190118,M. vaccae - WD
12,3,WD,MV,0.369322389,0.126131907,M. vaccae - WD
13,1,CD,MV,0.620464027,0.29630813,M. vaccae - CD
13,2,CD,MV,0.411206573,0.235140905,M. vaccae - CD
13,3,CD,MV,0.579107285,0.198152363,M. vaccae - CD
15,1,CD,MV,0.475594252,0.369611561,M. vaccae - CD
15,2,CD,MV,0.307541966,0.213278607,M. vaccae - CD
15,3,CD,MV,0.425448149,0.133447245,M. vaccae - CD
16,1,CD,MV,0.685228944,0.427277267,M. vaccae - CD
16,2,CD,MV,0.428847611,0.257925153,M. vaccae - CD
16,3,CD,MV,0.464231074,0.163334489,M. vaccae - CD
17,1,WD,BBS,0.789112866,0.432637572,BBS - WD
17,2,WD,BBS,0.397700578,0.239384085,BBS - WD
17,3,WD,BBS,0.321294338,0.166110799,BBS - WD
18,1,WD,BBS,0.803461969,0.406117111,BBS - WD
18,2,WD,BBS,0.31932202,0.247327775,BBS - WD
18,3,WD,BBS,0.328470737,0.140233263,BBS - WD
19,1,WD,BBS,0.741953433,0.412534684,BBS - WD
19,2,WD,BBS,0.346634358,0.19742097,BBS - WD
19,3,WD,BBS,0.330065578,0.139099896,BBS - WD
2,1,WD,BBS,0.874756217,0.418896765,BBS - WD
2,2,WD,BBS,0.313045979,0.190077856,BBS - WD
2,3,WD,BBS,0.253144801,0.106330998,BBS - WD
20,1,WD,BBS,0.724836528,0.584874988,BBS - WD
20,2,WD,BBS,0.489478052,0.218559682,BBS - WD
20,3,WD,BBS,0.220952779,0.129482165,BBS - WD
21,1,CD,BBS,0.545539141,0.356709719,BBS - CD
21,2,CD,BBS,0.561600506,0.166586861,BBS - CD
21,3,CD,BBS,0.345649928,0.215413362,BBS - CD
22,1,CD,BBS,0.446403921,0.285681635,BBS - CD
22,2,CD,BBS,0.405267864,0.29620561,BBS - CD
22,3,CD,BBS,0.215754732,0.115202703,BBS - CD
23,1,CD,BBS,0.259067804,0.339818865,BBS - CD
23,2,CD,BBS,0.230186492,0.275081187,BBS - CD
23,3,CD,BBS,0.183452457,0.170884043,BBS - CD
24,1,CD,BBS,0.508292913,0.396565646,BBS - CD
24,2,CD,BBS,0.537824988,0.221492499,BBS - CD
