taxon,lfc_(Intercept),lfc_Treatment1,lfc_Diet1,lfc_Timepoint1,lfc_Timepoint2,lfc_Timepoint3,lfc_TreatDiet1,lfc_TreatTime1,lfc_TreatTime2,lfc_TreatTime3,lfc_DietTime1,lfc_DietTime2,lfc_DietTime3,lfc_TreatDietTime1,lfc_TreatDietTime2,lfc_TreatDietTime3,se_(Intercept),se_Treatment1,se_Diet1,se_Timepoint1,se_Timepoint2,se_Timepoint3,se_TreatDiet1,se_TreatTime1,se_TreatTime2,se_TreatTime3,se_DietTime1,se_DietTime2,se_DietTime3,se_TreatDietTime1,se_TreatDietTime2,se_TreatDietTime3,W_(Intercept),W_Treatment1,W_Diet1,W_Timepoint1,W_Timepoint2,W_Timepoint3,W_TreatDiet1,W_TreatTime1,W_TreatTime2,W_TreatTime3,W_DietTime1,W_DietTime2,W_DietTime3,W_TreatDietTime1,W_TreatDietTime2,W_TreatDietTime3,p_(Intercept),p_Treatment1,p_Diet1,p_Timepoint1,p_Timepoint2,p_Timepoint3,p_TreatDiet1,p_TreatTime1,p_TreatTime2,p_TreatTime3,p_DietTime1,p_DietTime2,p_DietTime3,p_TreatDietTime1,p_TreatDietTime2,p_TreatDietTime3,q_(Intercept),q_Treatment1,q_Diet1,q_Timepoint1,q_Timepoint2,q_Timepoint3,q_TreatDiet1,q_TreatTime1,q_TreatTime2,q_TreatTime3,q_DietTime1,q_DietTime2,q_DietTime3,q_TreatDietTime1,q_TreatDietTime2,q_TreatDietTime3,diff_(Intercept),diff_Treatment1,diff_Diet1,diff_Timepoint1,diff_Timepoint2,diff_Timepoint3,diff_TreatDiet1,diff_TreatTime1,diff_TreatTime2,diff_TreatTime3,diff_DietTime1,diff_DietTime2,diff_DietTime3,diff_TreatDietTime1,diff_TreatDietTime2,diff_TreatDietTime3,passed_ss_(Intercept),passed_ss_Treatment1,passed_ss_Diet1,passed_ss_Timepoint1,passed_ss_Timepoint2,passed_ss_Timepoint3,passed_ss_TreatDiet1,passed_ss_TreatTime1,passed_ss_TreatTime2,passed_ss_TreatTime3,passed_ss_DietTime1,passed_ss_DietTime2,passed_ss_DietTime3,passed_ss_TreatDietTime1,passed_ss_TreatDietTime2,passed_ss_TreatDietTime3,name,nickname
Lachnospiraceae_UCG-001,-1.0693769874007464,-1.1408336507388586,-0.5416779425246443,1.326337231185615,2.2726054211973845,1.895066369945701,1.3139712132669248,1.67124879958787,0.7787471163679562,1.6705025913108786,0,0,-5.616180901844468,0,0,0,0.5281827935080362,0.7730733258819957,0.718321101686432,0.7343778991357202,0.7110422035525286,0.6907079110049604,1.0799985455279104,0.9914946325977382,1.035366756336686,0.9753204846228192,0.5294780797444929,0.5138608665104242,1.6415830207156417,0.5851545521529613,0.5050924260018845,0.5030381548959134,-2.0246342753770072,-1.4757120864793605,-0.7540888625614989,1.8060690997735145,3.1961610855768208,2.743658121981596,1.2166416507761564,1.6855853220396773,0.7521461468623001,1.7127729988742149,0,0,-3.421198215973333,0,0,0,0.047028174103592627,0.14479528892622534,0.4535613073975434,0.08051638041683021,0.0033238957453277686,0.010684642579138325,0.22817039336890238,0.10043157269318992,0.45740200729807245,0.0970493156214635,1,1,0.001076403856084412,1,1,1,0.1199218439641612,0.9828261738452355,0.9966408418155057,0.3733032182962128,0.033903736602343235,0.06811459644200682,1,0.6402512759190857,1,0.6706740854149189,1,1,0.004574716388358751,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Lachnospiraceae_NK4A136_group,-1.2173604297484937,0.9496166388295242,-1.0215032057141538,1.0421233741421756,1.4906108762960812,1.7246212157424756,0.49408072148589643,-0.8692803669245528,-1.0283929348904268,-0.5764206454456364,1.0971498441524672,0.6562479395206463,0.9117800527638923,-0.31099173274747927,-0.132460530404615,-1.1915203147998736,0.4307548453500813,0.616578990537906,0.5939652123258923,0.5459087141749178,0.5455944357217313,0.5440619601061928,0.8591691892659858,0.7171944720599428,0.7833562181884294,0.7130790212409751,0.7616675633655722,0.7466562515215763,0.7413968546376004,1.038482990120047,0.9916168866007332,0.9897389530106574,-2.8261096604940694,1.5401378467357034,-1.7198030869755436,1.9089700293889478,2.7320859207888537,3.169898545022069,0.5750680164729889,-1.2120567025953022,-1.3128036913636345,-0.8083545137010041,1.440457618156277,0.878915750297823,1.229813759069124,-0.29946733428106426,-0.13358034962342186,-1.2038733154590142,0.005348861316309138,0.12561664124512267,0.08751406755395967,0.05859569197762942,0.007220345898967495,0.0019247385310516866,0.5660999088591416,0.22781381224733283,0.19169325705186563,0.42044723267720974,0.15227860859696535,0.3811607492993744,0.22111398672755092,0.7650889358023086,0.893952733040942,0.2309502600799627,0.0272791927131766,0.9828261738452355,0.663489400510188,0.29883802908591,0.04536689829359455,0.016360277513939335,1,0.7745669616409316,1,0.7394072022944033,0.2624399059876079,0.5554056632648027,0.38885563183121025,1,1,0.8300209672820491,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
Roseburia,0.03574825253532439,0.3020113307494653,-0.4153793663208634,-0.5233458775458195,-0.2498476644392184,-0.13848519003766882,-0.2203904300984408,-0.3587200805120189,-0.9374045184221022,0.4940367490449124,0.44255479051939267,0.06130873769938809,0.060007974883345944,0.9066470893327406,1.5500403591284002,0.14331816216372745,0.38697634053308816,0.5594665071461862,0.5380139053953505,0.4606487794534272,0.46032709518180337,0.4587583915980171,0.7780226415773929,0.5953198746509174,0.6630087159570878,0.5896894173066851,0.6453248509654431,0.6466135331856387,0.6300210903434355,0.8637179774583087,0.8209761184004732,0.8106074787890245,0.09237839317535165,0.5398202160304675,-0.7720606515097947,-1.1361060766660105,-0.5427611519164272,-0.30186955175964436,-0.28326994398468,-0.6025669489404575,-1.4138645478723604,0.8377914450310955,0.6857860655099602,0.0948151168401029,0.09524756520553074,1.049702695781279,1.88804561349285,0.1768034047475506,0.9265499394753842,0.5902773112575606,0.4415455017721205,0.2582495612588902,0.5883336600352633,0.763291038156991,0.7774392166338059,0.5479620139573207,0.16005493452178998,0.4038546914912514,0.4942018742491303,0.9246221855362549,0.9242790959462579,0.29601559019161205,0.06148342773682998,0.8599666167096112,0.9844593106925957,0.9828261738452355,0.9966408418155057,0.6271775059144475,0.8596950109352255,0.9052986731629429,1,0.8920606552801397,1,0.7394072022944033,0.6301073896676411,1,1,0.8542948077281665,0.6993574353771813,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
Lactobacillus,0.1008071757869632,0.3968329364383635,0.31839537490338266,0.1209299342376111,0.18442725074454805,0.5077025654202497,-0.46842206699022265,-0.2637318506979128,-0.08519535044189445,-0.7376710837249898,-1.414268871040519,-1.7226464385512674,-1.879837146799592,0.02401742848187582,0.25540299307110764,0.8840988473474232,0.3686585695538892,0.5237190870244508,0.5058268324050289,0.4324451510971014,0.4321214326427772,0.4305427703826303,0.7295707004039854,0.5456067015791146,0.6138067409517104,0.5391423442719885,0.5997571826805509,0.5842520349448153,0.5788149229195809,0.7935074324525038,0.733784966658431,0.73180925176096,0.27344319137609946,0.7577209734573539,0.6294552888575019,0.2796422481112696,0.4267949627414314,1.179215168260859,-0.6420516431523952,-0.48337355449375996,-0.13879832976385797,-1.368230656638698,-2.3580690850913943,-2.9484645932195646,-3.2477344179683008,0.03026742724720907,0.3480624497312644,1.2081001233859878,0.784990295264118,0.4501276739477441,0.5302671202696627,0.7802216933600844,0.6702747749181412,0.2405884484078214,0.5220842740934715,0.6296898743153927,0.8898365061170147,0.17373408643321905,0.019947471715332853,0.0038228696883350274,0.0014996482463697832,0.9759028311706508,0.7283882576582584,0.22932639388580062,0.9310350013597679,0.9828261738452355,0.9966408418155057,0.9476790752491363,0.8995793031796105,0.49080043475195567,1,0.8920606552801397,1,0.6706740854149189,0.05651783652677642,0.01254762758189807,0.005463004326061353,1,1,0.8300209672820491,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
Romboutsia,-1.3279851476222884,0.3243492048436248,-0.8085705288531891,0.7331943804498803,-0.11222611040634603,-0.6624582880618911,1.1824803124423215,0.058566083647365895,0.9807733484394987,-0.37132143811240037,1.8163966709952797,3.6860362228769388,3.875219877283302,-0.08412453310199597,-2.8982070361777876,-1.1422112809672513,0.6290551771470334,0.9661681451992711,0.8903284573538764,0.735459744761617,0.8185703127628169,0.8171387760417014,1.3222336199310176,1.0683183281138189,1.196054347415583,1.1340324142138132,1.0555693010943403,1.1138516450391984,1.0852940859969742,1.5064284311573548,1.5311452674640946,1.5224245675376435,-2.1110789575647817,0.33570678815614247,-0.908171048756907,0.9969197983603154,-0.13710014724033104,-0.8107047511206146,0.8943051323290455,0.054820817078714626,0.8200073437789343,-0.32743458957460675,1.720774438127527,3.3092703496857703,3.570663405691963,-0.05584369715948935,-1.892836099724124,-0.7502580458318892,0.0368908530636828,0.7376553383407956,0.365607785264508,0.3211914109292849,0.8912069201461612,0.4193183071993214,0.3729090449607746,0.9563845339972331,0.41403660320036784,0.743975023491364,0.08831870815879421,0.0012765528127764146,5.382044154245591e-4,0.9555733336539347,0.061128408011069044,0.45477304145093,0.11068588562816606,0.9828261738452355,0.9966408418155057,0.7122070416258056,1,0.7637583452559068,1,1,1,0.9929189925747908,0.1801701646439402,0.004650299532256938,0.0024953113806047743,1,0.6993574353771813,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
[Eubacterium]_nodatum_group,-1.2049770281814869,0.1042949278630075,-0.6547586629203273,0.554875351347519,0.5296651245580726,0.8977578905833383,0.8278709995348057,-0.1897084684189312,-0.04389934668981674,-0.8305734025773632,2.2629891188882967,2.3400853211075003,2.029390670756401,-0.8793389022986164,-1.0009706767276116,-0.09469462144038764,0.37262487339662026,0.5152356870748235,0.5113446100045501,0.4699659194997307,0.4696449857748704,0.46807995560357385,0.7175775438943878,0.5876358533354012,0.6509727744617045,0.577326642549427,0.6579371043953711,0.6343404028437191,0.6289537356580727,0.8543443511702613,0.7886694867881691,0.7867168260756539,-3.2337536064022077,0.2024217857561982,-1.2804645831986006,1.1806714664292524,1.1277989558095134,1.9179584167959272,1.1537024905236595,-0.32283337945115553,-0.06743653254334256,-1.4386542060654248,3.4395219600328377,3.689005635802173,3.2266135896832773,-1.0292558276930353,-1.2691890500341687,-0.1203668439541948,0.0015355935608548175,0.8398922630844864,0.20256264079576625,0.24089706533563107,0.26245345189128616,0.058341227879568504,0.2506563899160923,0.747595336126782,0.9463857372331539,0.15376253547213584,8.965158028794518e-4,3.8424826763492693e-4,0.0017453486483479366,0.3062129479244278,0.20766250526344376,0.9044622108853209,0.013590944126450805,0.9961512887746234,0.9966408418155057,0.6270947649161597,0.704480318234505,0.19836017479053292,1,0.9561110925427414,1,0.6706740854149189,0.005080256216316894,0.0021774068499312528,0.005934185404382984,0.8542948077281665,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA
Clostridia_vadinBB60_group,0.12451923607472398,-0.29406977715482885,0.055085726447703404,-0.3840912517597542,-0.010130353940182753,0.39668535080144096,0.32333057045318003,0.14579155380749417,0.24503770478072268,0.012641208487837678,-2.2504174232772285,-3.1710211222640075,-2.441180287858002,-0.814165751232597,0.5980981540213994,0.4590895698456883,0.37210372765408023,0.5288715790217667,0.5107150511657964,0.4003139074174608,0.3999886421633151,0.3984024037995846,0.7367600300009324,0.49734277338354405,0.5658287515228473,0.4898865405840278,0.7577236970951066,0.9252888130537305,0.920215924232769,0.9594310336842218,1.095775045000567,1.0356794561043041,0.3346358201240089,-0.5560324827792,0.10786000201474502,-0.9594751634726768,-0.02532660398903661,0.9956901540207388,0.43885465726577333,0.2931409917060596,0.4330598332467883,0.02580435966411164,-2.9699710222930573,-3.4270609106346885,-2.652834213767099,-0.848592262130812,0.5458220250134369,0.4432738016958917,0.7393117334595061,0.5806900628298759,0.9145421596099849,0.3418227295803682,0.9798927793954451,0.3240771605834547,0.6626738851483764,0.770597698057141,0.6667878537554931,0.9795135660856136,0.003977086629862703,9.514104007817432e-4,0.009561136168078141,0.39891537245652764,0.5867923643417822,0.6587992991201561,0.8977356763436859,0.9828261738452355,1,0.7153695568381893,1,0.6356898149906227,1,0.9561110925427414,1,1,0.01448795843735699,0.00415246820799694,0.023219902122475485,0.9687944759658528,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
Enterococcus,0.6239080205063837,-0.2803054052167073,0.22112398443500456,-0.36100399068786126,-1.231296609817162,-1.3550994891371058,0.5445694197924165,-0.9549425961487383,0.2666049041565738,0.2785549105339662,-0.8248386586982491,-0.36958500271955513,-0.041218221905490744,-0.1218639938459313,-0.4823373803615276,-0.8225705734969613,0.4195239918638761,0.7443888953310169,0.5533098625477475,0.6419040230198976,0.7206787941895193,0.9260727811569165,0.9366703430141037,0.9420307904702566,1.1017368763266226,1.1487384137540186,0.8345129706950816,0.8736122048688548,1.0319476005700337,1.2398978219193415,1.2758973362004056,1.339172697977843,1.4871807872881428,-0.376557746864373,0.39963861012132745,-0.5623955883458779,-1.7085234361611643,-1.4632753674546166,0.5813885577289135,-1.0137063520737324,0.24198600399532752,0.24248767795939105,-0.9884072359129726,-0.42305384547029834,-0.039942165554454866,-0.09828551328309282,-0.37803776736294303,-0.6142378609861496,0.14305198148523338,0.7080356108985341,0.6910657390597046,0.5772227603166327,0.09508604787609766,0.14945657090477904,0.563491650213499,0.3164587354723858,0.8099800766272112,0.8093571443826324,0.32961569858094,0.6744251525496382,0.968292342501372,0.9221796820480945,0.7072395789252837,0.5417530298613208,0.2605589662766751,0.9828261738452355,1,0.865834140474949,0.34638488869149864,0.3842439909938035,1,0.8920606552801397,1,0.9929189925747908,0.466955572989665,0.8598920695007887,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
Tuzzerella,-1.2120185595548747,0.2676358802898971,-0.2410781701236461,-0.23090124514003169,0.3383152043493283,0.39760482240670214,-0.3712401741599664,0.1672891997952993,-0.5410944287288514,-0.5260129989202655,2.471038850693509,1.9465862279264121,2.176886794159555,-0.053868971359449784,1.4303404718147872,1.1145453472448643,0.5106951873236505,0.6578958537917678,0.7021797534826254,0.5439857335607833,0.5436712835103622,0.5357421037866833,0.9440940265855582,0.6447352753202211,0.7089123467448047,0.6348734436235252,0.7696011428936581,0.7468045704751852,0.740084906441135,0.9667905442622905,0.9104158215578814,0.9095353309836332,-2.3732719431067677,0.40680584738052955,-0.3433282844285417,-0.4244619498173503,0.622278966372665,0.7421571304483783,-0.3932237295289389,0.25946959348891163,-0.763274093353653,-0.8285320550156561,3.210804549227329,2.606553715502593,2.941401419233917,-0.055719381699739834,1.5710848141536287,1.225400827518728,0.020533284266814007,0.6857143512355219,0.7323414303147049,0.6730844536229063,0.5366397804568575,0.4614473272548293,0.6954801035761387,0.7963555804611044,0.4488404427540099,0.41131489549389866,0.0022292166298395477,0.011679871472362085,0.004751167600567326,0.9557771715617701,0.122040190399866,0.2258862381959168,0.08055365366211649,0.9828261738452355,1,0.9439883487380376,0.8552696501031165,0.7844604563332098,1,0.9561110925427414,1,0.7394072022944033,0.009474170676818078,0.03309296917169258,0.01211547738144668,1,1,0.8300209672820491,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA
Clostridia_UCG-014,-1.4971212563572933,0.5644302196874965,0.5544557205220321,1.9173251456928428,1.99019785135127,2.2647501685945746,1.1616928574412606,-1.8155577793931483,-1.1664723883557477,-1.4615867054661045,-3.1791629806214963,-1.840471492258729,-2.847160873112536,-0.25138342343883824,0.421812441114,0.15395485441207193,0.6364025166586336,0.9189259011698668,1.0951424053144985,0.6145475681157507,0.5464519080840172,0.5301762207898484,1.57035274065699,0.7849562556898574,0.7662403688978038,0.6976304413557053,0.9868623579645314,0.974873255011168,0.9287549398952136,1.3430271116266497,1.458546314398333,1.4366201206296778,-2.3524753865176016,0.614228219020632,0.506286413375442,3.119897051373105,3.642036603604056,4.271693221586937,0.7397655490799105,-2.312941347027738,-1.5223322024049144,-2.095073005452289,-3.221485706657947,-1.887908487383465,-3.0655674073009678,-0.1871767302853382,0.2892005807083352,0.10716462355030414,0.02267415877858189,0.5419076963652407,0.6150462844602178,0.0034223544775550353,7.671268356723547e-4,1.1861235470632091e-4,0.46314633676598227,0.02610206387724364,0.13589302722457422,0.042628997784604106,0.002443109226614952,0.06623084531598324,0.0037998937098545293,0.8523910587589291,0.773906338239346,0.9151818461921502,0.08259872126483403,0.9828261738452355,0.9966408418155057,0.03846142383387566,0.009780867154822522,0.0012098460180044732,1,0.34340907561111,1,0.46775228412777625,0.009584505427489426,0.1608463386245307,0.0107663655112545,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
