taxon,lfc_(Intercept),lfc_Treatment1,lfc_Diet1,lfc_TreatDiet1,se_(Intercept),se_Treatment1,se_Diet1,se_TreatDiet1,W_(Intercept),W_Treatment1,W_Diet1,W_TreatDiet1,p_(Intercept),p_Treatment1,p_Diet1,p_TreatDiet1,q_(Intercept),q_Treatment1,q_Diet1,q_TreatDiet1,diff_(Intercept),diff_Treatment1,diff_Diet1,diff_TreatDiet1,passed_ss_(Intercept),passed_ss_Treatment1,passed_ss_Diet1,passed_ss_TreatDiet1,name,nickname
Genus:Lachnospiraceae_NK4A136_group,-0.535361603,-0.106445088,-0.25469783,-1.009093069,0.094162144,NA,NA,0.40394379,-5.685529021,NA,NA,-2.49810269,1.21E-06,1,1,0.01658933,2.94E-06,1,1,0.282018609,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA
Genus:Roseburia,-0.992154335,0.554304743,0.00233291,-0.99487927,0.219187626,NA,NA,0.714183654,-4.526507049,NA,NA,-1.393030021,5.51E-05,1,1,0.171500832,8.92E-05,1,1,0.584080535,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA
Genus:Lactobacillus,0.291088253,-0.788167625,-1.778261578,0.097079292,0.215198361,NA,NA,0.587047204,1.352650883,NA,NA,0.1653688,0.183580324,1,1,0.869466423,0.195054095,1,1,0.923808074,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA
Family:Lachnospiraceae,-1.044787489,-0.027870448,0.397109199,-0.437953455,0.281149197,NA,NA,0.624505799,-3.716131863,NA,NA,-0.701280046,6.05E-04,1,1,0.48708981,8.22E-04,1,1,0.719612024,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Family:Tannerellaceae,-0.590317922,-0.650970049,0.057834982,-0.398201809,0.117350753,NA,NA,0.440916212,-5.030371844,NA,NA,-0.903123536,1.02E-05,1,1,0.37173603,1.92E-05,1,1,0.702168057,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
Genus:A2,-1.422775151,-0.29916094,1.015717065,0.296814083,0.299211753,NA,NA,0.723392301,-4.755077762,NA,NA,0.410308601,2.70E-05,1,1,0.683825028,4.60E-05,1,1,0.861112999,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Genus:Romboutsia,-2.130002638,-0.616903056,2.605580225,-0.20295701,0.305333963,NA,NA,0.984725672,-6.975976792,NA,NA,-0.206105127,4.79E-08,1,1,0.837938007,1.36E-07,1,1,0.919028782,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Incertae_Sedis,0.269142278,-0.134600064,-2.046030655,-0.852201007,0.167138074,NA,NA,0.636781684,1.61029903,NA,NA,-1.338293843,0.115832342,1,1,0.188967232,0.131276655,1,1,0.584080535,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Genus:Colidextribacter,-1.676020112,-0.249799491,1.85498964,-0.419825481,0.129214976,NA,NA,0.409641844,-12.97078837,NA,NA,-1.024859857,3.90E-15,1,1,0.312266893,2.65E-14,1,1,0.663567148,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA
Genus:[Eubacterium]_xylanophilum_group,0.605659698,-0.084220905,-3.649304944,-1.128086765,0.109955708,NA,NA,0.380407356,5.508215155,NA,NA,-2.965470426,5.55E-06,1,1,0.005877892,1.26E-05,1,1,0.199848321,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA
Genus:Muribaculaceae,0.044461556,-0.44827008,-1.434197996,-0.262294294,0.121037248,NA,NA,0.392734905,0.367337793,NA,NA,-0.667866009,0.715256441,1,1,0.507961429,0.736930879,1,1,0.719612024,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA
Genus:Lachnoclostridium,-1.001150816,-0.369797682,0.790195515,-0.769960536,0.258869693,NA,NA,0.667627343,-3.86739291,NA,NA,-1.153278912,4.30E-04,1,1,0.25619195,6.09E-04,1,1,0.594646806,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:uncultured,-1.176698235,0.003624245,0.591088265,-0.461593971,0.263386136,NA,NA,0.679406859,-4.467578492,NA,NA,-0.679407287,6.61E-05,1,1,0.500892565,1.02E-04,1,1,0.719612024,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:Marvinbryantia,-0.565185024,-1.135760396,0.892112526,-0.329433991,0.09580091,NA,NA,0.453370644,-5.899578845,NA,NA,-0.726632824,1.39E-05,1,1,0.476795046,2.48E-05,1,1,0.719612024,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
Genus:Blautia,-1.989513867,-0.052048944,2.399379124,-0.713569164,0.129122163,NA,NA,0.431878707,-15.40799676,NA,NA,-1.652244376,1.18E-18,1,1,0.106123949,1.00E-17,1,1,0.584080535,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA
Genus:Lachnospiraceae_UCG-006,-1.85663779,-0.705204919,2.25377334,-0.283413886,0.110942544,NA,NA,0.462617643,-16.73512898,NA,NA,-0.612630949,7.60E-19,1,1,0.543867639,8.61E-18,1,1,0.739659989,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
Genus:Intestinimonas,-1.470472249,0.14510394,1.336410956,-0.849978395,0.176623579,NA,NA,0.421743939,-8.325458358,NA,NA,-2.015389713,8.13E-10,1,1,0.051593839,3.07E-09,1,1,0.584080535,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA
Genus:Mucispirillum,-1.089894691,0.2317356,0.740268167,-1.466549741,0.391834971,NA,NA,0.862015295,-2.781514598,NA,NA,-1.70130362,0.008138591,1,1,0.096459328,0.010642773,1,1,0.584080535,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Genus:Akkermansia,-2.065645468,-0.582829643,2.992703776,-0.793009289,0.513083725,NA,NA,0.869180587,-4.025942295,NA,NA,-0.912364244,2.46E-04,1,1,0.367043311,3.64E-04,1,1,0.702168057,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
Genus:Anaeroplasma,0.462299127,-0.643286201,-2.528075547,-0.663623149,0.252775043,NA,NA,0.581623954,1.828895453,NA,NA,-1.140983182,0.076748676,1,1,0.262344179,0.089981206,1,1,0.594646806,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA
