id	Plate	Timepoint	Cohort	Mouse	Treatment	Diet	Weight_group	pielou_evenness
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
47-3-1	1	1	3	47	ATCC	CD	Low	0.587929950215178
47-3-2	1	2	3	47	ATCC	CD	Low	0.592599326578661
47-3-3	1	3	3	47	ATCC	CD	Low	0.601921727379012
47-3-4	1	4	3	47	ATCC	CD	Low	0.753373490885186
29-2-1	1	1	2	29	ATCC	CD	Low	0.586517571444594
29-2-2	1	2	2	29	ATCC	CD	Low	0.659722805677859
29-2-3	1	3	2	29	ATCC	CD	Low	0.568377851805618
29-2-4	1	4	2	29	ATCC	CD	Low	0.691582530388323
22-2-1	1	1	2	22	BBS	CD	Medium	0.671185827538801
22-2-2	1	2	2	22	BBS	CD	Medium	0.558169664113544
22-2-3	1	3	2	22	BBS	CD	Medium	0.693356412340601
22-2-4	1	4	2	22	BBS	CD	Medium	0.702824576952847
15-1-1	1	1	1	15	ATCC	CD	Low	0.650389102116859
15-1-2	1	2	1	15	ATCC	CD	Low	0.701438817667707
15-1-3	1	3	1	15	ATCC	CD	Low	0.613398570551652
15-1-4	1	4	1	15	ATCC	CD	Low	0.763695684395136
5-1-1	1	1	1	5	BBS	CD	Medium	0.59180719195134
5-1-2	1	2	1	5	BBS	CD	Medium	0.685463487804239
5-1-3	1	3	1	5	BBS	CD	Medium	0.678769901243666
5-1-4	1	4	1	5	BBS	CD	Medium	0.569495150787741
8-1-1	1	1	1	8	BBS	CD	Medium	0.760388872017824
8-1-2	1	2	1	8	BBS	CD	Medium	0.617655951823413
8-1-3	1	3	1	8	BBS	CD	Medium	0.580618170997868
8-1-4	1	4	1	8	BBS	CD	Medium	0.552171582827314
38-3-1	1	1	3	38	BBS	CD	Medium	0.603473298415025
38-3-2	1	2	3	38	BBS	CD	Medium	0.620604292890458
38-3-3	1	3	3	38	BBS	CD	Medium	0.590707789435678
38-3-4	1	4	3	38	BBS	CD	Medium	0.773184562376296
31-2-1	1	1	2	31	ATCC	CD	Medium	0.597742501168665
31-2-2	1	2	2	31	ATCC	CD	Medium	0.661583432834684
31-2-3	1	3	2	31	ATCC	CD	Medium	0.601036379665667
31-2-4	1	4	2	31	ATCC	CD	Medium	0.620977409699942
16-1-1	1	1	1	16	ATCC	CD	Low	0.652231857781416
16-1-2	1	2	1	16	ATCC	CD	Low	0.593992080305049
16-1-3	1	3	1	16	ATCC	CD	Low	0.682697419747181
16-1-4	1	4	1	16	ATCC	CD	Low	0.782384578051725
23-2-1	1	1	2	23	BBS	CD	Medium	0.63742574542076
23-2-2	1	2	2	23	BBS	CD	Medium	0.609213821934388
23-2-3	1	3	2	23	BBS	CD	Medium	0.576499895075166
23-2-4	1	4	2	23	BBS	CD	Medium	0.59518839184378
46-3-1	2	1	3	46	ATCC	CD	Medium	0.582558499259906
46-3-2	2	2	3	46	ATCC	CD	Medium	0.573920132124859
46-3-3	2	3	3	46	ATCC	CD	Medium	0.625839718027506
46-3-4	2	4	3	46	ATCC	CD	Medium	0.674980449256914
48-3-1	2	1	3	48	ATCC	CD	Medium	0.590392127236264
48-3-2	2	2	3	48	ATCC	CD	Medium	0.614815645136189
48-3-3	2	3	3	48	ATCC	CD	Medium	0.560203865705008
