id	Plate	Timepoint	Cohort	Mouse	Treatment	Diet	Weight_group	faith_pd
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
47-3-1	1	1	3	47	ATCC	CD	Low	32.4441244336147
47-3-2	1	2	3	47	ATCC	CD	Low	35.1597253486604
47-3-3	1	3	3	47	ATCC	CD	Low	32.2029439004514
47-3-4	1	4	3	47	ATCC	CD	Low	45.0777047842166
29-2-1	1	1	2	29	ATCC	CD	Low	40.0808053530223
29-2-2	1	2	2	29	ATCC	CD	Low	44.5702916219652
29-2-3	1	3	2	29	ATCC	CD	Low	41.9683599091135
29-2-4	1	4	2	29	ATCC	CD	Low	45.4590113621126
22-2-1	1	1	2	22	BBS	CD	Medium	38.0567283002013
22-2-2	1	2	2	22	BBS	CD	Medium	34.6325465670332
22-2-3	1	3	2	22	BBS	CD	Medium	43.5331071875787
22-2-4	1	4	2	22	BBS	CD	Medium	42.1749951345708
15-1-1	1	1	1	15	ATCC	CD	Low	31.5704506427876
15-1-2	1	2	1	15	ATCC	CD	Low	38.4466518233317
15-1-3	1	3	1	15	ATCC	CD	Low	39.6167594966591
15-1-4	1	4	1	15	ATCC	CD	Low	43.3838444754332
5-1-1	1	1	1	5	BBS	CD	Medium	31.2402651834981
5-1-2	1	2	1	5	BBS	CD	Medium	41.4615498592476
5-1-3	1	3	1	5	BBS	CD	Medium	39.3818920377376
5-1-4	1	4	1	5	BBS	CD	Medium	40.0265545244785
8-1-1	1	1	1	8	BBS	CD	Medium	46.4397903770598
8-1-2	1	2	1	8	BBS	CD	Medium	43.2942258613798
8-1-3	1	3	1	8	BBS	CD	Medium	47.0482324238809
8-1-4	1	4	1	8	BBS	CD	Medium	45.232416225478
38-3-1	1	1	3	38	BBS	CD	Medium	24.31960041089
38-3-2	1	2	3	38	BBS	CD	Medium	30.8375478869666
38-3-3	1	3	3	38	BBS	CD	Medium	36.668419622026
38-3-4	1	4	3	38	BBS	CD	Medium	40.4699259865172
31-2-1	1	1	2	31	ATCC	CD	Medium	21.7675858690839
31-2-2	1	2	2	31	ATCC	CD	Medium	34.9892981908167
31-2-3	1	3	2	31	ATCC	CD	Medium	40.344904204422
31-2-4	1	4	2	31	ATCC	CD	Medium	38.5141560092962
16-1-1	1	1	1	16	ATCC	CD	Low	27.1341068160597
16-1-2	1	2	1	16	ATCC	CD	Low	33.4458498957244
16-1-3	1	3	1	16	ATCC	CD	Low	41.1444564394354
16-1-4	1	4	1	16	ATCC	CD	Low	43.0372561791203
23-2-1	1	1	2	23	BBS	CD	Medium	20.248076470945
23-2-2	1	2	2	23	BBS	CD	Medium	25.7809295203585
23-2-3	1	3	2	23	BBS	CD	Medium	30.4226603332798
