id	Plate	Timepoint	Cohort	Mouse	Treatment	Diet	Weight_group	shannon_entropy
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
47-3-1	1	1	3	47	ATCC	CD	Low	3.81675486772936
47-3-2	1	2	3	47	ATCC	CD	Low	3.91110390575795
47-3-3	1	3	3	47	ATCC	CD	Low	3.91718299125627
47-3-4	1	4	3	47	ATCC	CD	Low	5.58841344401104
29-2-1	1	1	2	29	ATCC	CD	Low	4.09898637007764
29-2-2	1	2	2	29	ATCC	CD	Low	4.78162307451875
29-2-3	1	3	2	29	ATCC	CD	Low	3.99764185645407
29-2-4	1	4	2	29	ATCC	CD	Low	5.13005721229218
22-2-1	1	1	2	22	BBS	CD	Medium	4.65971734346624
22-2-2	1	2	2	22	BBS	CD	Medium	3.69213037189834
22-2-3	1	3	2	22	BBS	CD	Medium	5.06412321607843
22-2-4	1	4	2	22	BBS	CD	Medium	5.04621656874964
15-1-1	1	1	1	15	ATCC	CD	Low	4.27296249013977
15-1-2	1	2	1	15	ATCC	CD	Low	4.94884896986969
15-1-3	1	3	1	15	ATCC	CD	Low	4.22927136022723
15-1-4	1	4	1	15	ATCC	CD	Low	5.58481715343741
5-1-1	1	1	1	5	BBS	CD	Medium	3.81298029817939
5-1-2	1	2	1	5	BBS	CD	Medium	4.94181704916603
5-1-3	1	3	1	5	BBS	CD	Medium	4.84611256639181
5-1-4	1	4	1	5	BBS	CD	Medium	4.04827020739123
8-1-1	1	1	1	8	BBS	CD	Medium	5.68446451107848
8-1-2	1	2	1	8	BBS	CD	Medium	4.51122364992485
8-1-3	1	3	1	8	BBS	CD	Medium	4.25646354950831
8-1-4	1	4	1	8	BBS	CD	Medium	4.02788228504046
38-3-1	1	1	3	38	BBS	CD	Medium	3.69885863915498
38-3-2	1	2	3	38	BBS	CD	Medium	4.14967093158421
38-3-3	1	3	3	38	BBS	CD	Medium	4.0510627936237
38-3-4	1	4	3	38	BBS	CD	Medium	5.52807409769541
31-2-1	1	1	2	31	ATCC	CD	Medium	3.5307995587487
31-2-2	1	2	2	31	ATCC	CD	Medium	4.47771861964382
31-2-3	1	3	2	31	ATCC	CD	Medium	4.21400264661284
31-2-4	1	4	2	31	ATCC	CD	Medium	4.31839881136893
16-1-1	1	1	1	16	ATCC	CD	Low	4.09953956611196
16-1-2	1	2	1	16	ATCC	CD	Low	3.87494413727718
