"SampleID","Plate","Timepoint","Cohort","Mouse","Treatment","Diet","Weight_group","Shannon","Faith","Evenness"
"47-3-1","1","1","3","47","ATCC","CD","Low",3.81675486772936,32.4441244336147,0.587929950215178
"47-3-2","1","2","3","47","ATCC","CD","Low",3.91110390575795,35.1597253486604,0.592599326578661
"47-3-3","1","3","3","47","ATCC","CD","Low",3.91718299125627,32.2029439004514,0.601921727379012
"47-3-4","1","4","3","47","ATCC","CD","Low",5.58841344401104,45.0777047842166,0.753373490885186
"29-2-1","1","1","2","29","ATCC","CD","Low",4.09898637007764,40.0808053530223,0.586517571444594
"29-2-2","1","2","2","29","ATCC","CD","Low",4.78162307451875,44.5702916219652,0.659722805677859
"29-2-3","1","3","2","29","ATCC","CD","Low",3.99764185645407,41.9683599091135,0.568377851805618
"29-2-4","1","4","2","29","ATCC","CD","Low",5.13005721229218,45.4590113621126,0.691582530388323
"22-2-1","1","1","2","22","BBS","CD","Medium",4.65971734346624,38.0567283002013,0.671185827538801
"22-2-2","1","2","2","22","BBS","CD","Medium",3.69213037189834,34.6325465670332,0.558169664113544
"22-2-3","1","3","2","22","BBS","CD","Medium",5.06412321607843,43.5331071875787,0.693356412340601
"22-2-4","1","4","2","22","BBS","CD","Medium",5.04621656874964,42.1749951345708,0.702824576952847
"15-1-1","1","1","1","15","ATCC","CD","Low",4.27296249013977,31.5704506427876,0.650389102116859
"15-1-2","1","2","1","15","ATCC","CD","Low",4.94884896986969,38.4466518233317,0.701438817667707
"15-1-3","1","3","1","15","ATCC","CD","Low",4.22927136022723,39.6167594966591,0.613398570551652
"15-1-4","1","4","1","15","ATCC","CD","Low",5.58481715343741,43.3838444754332,0.763695684395136
"5-1-1","1","1","1","5","BBS","CD","Medium",3.81298029817939,31.2402651834981,0.59180719195134
"5-1-2","1","2","1","5","BBS","CD","Medium",4.94181704916603,41.4615498592476,0.685463487804239
"5-1-3","1","3","1","5","BBS","CD","Medium",4.84611256639181,39.3818920377376,0.678769901243666
"5-1-4","1","4","1","5","BBS","CD","Medium",4.04827020739123,40.0265545244785,0.569495150787741
"8-1-1","1","1","1","8","BBS","CD","Medium",5.68446451107848,46.4397903770598,0.760388872017824
"8-1-2","1","2","1","8","BBS","CD","Medium",4.51122364992485,43.2942258613798,0.617655951823413
"8-1-3","1","3","1","8","BBS","CD","Medium",4.25646354950831,47.0482324238809,0.580618170997868
"8-1-4","1","4","1","8","BBS","CD","Medium",4.02788228504046,45.232416225478,0.552171582827314
"38-3-1","1","1","3","38","BBS","CD","Medium",3.69885863915498,24.31960041089,0.603473298415025
"38-3-2","1","2","3","38","BBS","CD","Medium",4.14967093158421,30.8375478869666,0.620604292890458
"38-3-3","1","3","3","38","BBS","CD","Medium",4.0510627936237,36.668419622026,0.590707789435678
"38-3-4","1","4","3","38","BBS","CD","Medium",5.52807409769541,40.4699259865172,0.773184562376296
"31-2-1","1","1","2","31","ATCC","CD","Medium",3.5307995587487,21.7675858690839,0.597742501168665
"31-2-2","1","2","2","31","ATCC","CD","Medium",4.47771861964382,34.9892981908167,0.661583432834684
"31-2-3","1","3","2","31","ATCC","CD","Medium",4.21400264661284,40.344904204422,0.601036379665667
"31-2-4","1","4","2","31","ATCC","CD","Medium",4.31839881136893,38.5141560092962,0.620977409699942
"16-1-1","1","1","1","16","ATCC","CD","Low",4.09953956611196,27.1341068160597,0.652231857781416
"16-1-2","1","2","1","16","ATCC","CD","Low",3.87494413727718,33.4458498957244,0.593992080305049
"16-1-3","1","3","1","16","ATCC","CD","Low",4.80918968896823,41.1444564394354,0.682697419747181
"16-1-4","1","4","1","16","ATCC","CD","Low",5.60963874691596,43.0372561791203,0.782384578051725
"23-2-1","1","1","2","23","BBS","CD","Medium",3.61574995194979,20.248076470945,0.63742574542076
"23-2-2","1","2","2","23","BBS","CD","Medium",3.70856650340169,25.7809295203585,0.609213821934388
"23-2-3","1","3","2","23","BBS","CD","Medium",3.66512806359724,30.4226603332798,0.576499895075166
"23-2-4","1","4","2","23","BBS","CD","Medium",3.87336382634943,31.5778587994652,0.59518839184378
"46-3-1","2","1","3","46","ATCC","CD","Medium",3.92729889040806,35.7051541665748,0.582558499259906
"46-3-2","2","2","3","46","ATCC","CD","Medium",3.91423801122451,39.1850819389284,0.573920132124859
"46-3-3","2","3","3","46","ATCC","CD","Medium",4.36665889992216,39.4619790860507,0.625839718027506
"46-3-4","2","4","3","46","ATCC","CD","Medium",4.92372639024568,42.520366227497,0.674980449256914
"48-3-1","2","1","3","48","ATCC","CD","Medium",3.90527261591783,32.0216845628584,0.590392127236264
"48-3-2","2","2","3","48","ATCC","CD","Medium",4.12802318954666,34.9150094411102,0.614815645136189
"48-3-3","2","3","3","48","ATCC","CD","Medium",3.84186746440194,38.1423749930081,0.560203865705008
"48-3-4","2","4","3","48","ATCC","CD","Medium",3.66121120717063,35.0528826012312,0.545290040040607
"7-1-1","2","1","1","7","BBS","CD","Medium",3.90250118229228,18.6040889141031,0.702572465127391
