taxon,significance_filter,q_Treatment1,q_Diet1,q_Timepoint1,q_Timepoint2,q_Timepoint3,q_TreatDiet1,q_TreatTime1,q_TreatTime2,q_TreatTime3,q_DietTime1,q_DietTime2,q_DietTime3,q_TreatDietTime1,q_TreatDietTime2,q_TreatDietTime3,lfc_Treatment1,lfc_Diet1,lfc_Timepoint1,lfc_Timepoint2,lfc_Timepoint3,lfc_TreatDiet1,lfc_TreatTime1,lfc_TreatTime2,lfc_TreatTime3,lfc_DietTime1,lfc_DietTime2,lfc_DietTime3,lfc_TreatDietTime1,lfc_TreatDietTime2,lfc_TreatDietTime3,se_Treatment1,se_Diet1,se_Timepoint1,se_Timepoint2,se_Timepoint3,se_TreatDiet1,se_TreatTime1,se_TreatTime2,se_TreatTime3,se_DietTime1,se_DietTime2,se_DietTime3,se_TreatDietTime1,se_TreatDietTime2,se_TreatDietTime3
Dysgonomonas,q_Timepoint3,0.982826174,1,0.003975599,0.00118992,7.15E-04,1,0.892060655,1,0.992918993,1,0.296669219,0.523101961,1,1,1,-0.348359543,0.286283755,-2.750007699,-3.46677444,-3.042769593,-0.081843877,-1.183416246,0.224377824,-0.389916155,0.071347708,1.492726822,0.866220141,1.560321035,-1.202902295,-0.003509179,1.339256693,0.921920242,0.615789176,0.732150815,0.655978465,1.736345537,2.129985143,1.273326808,1.333500326,0.867829474,1.017010383,0.912873271,2.398829246,1.655128265,1.730012941
Dysgonomonas,q_Timepoint2,0.982826174,1,0.003975599,0.00118992,7.15E-04,1,0.892060655,1,0.992918993,1,0.296669219,0.523101961,1,1,1,-0.348359543,0.286283755,-2.750007699,-3.46677444,-3.042769593,-0.081843877,-1.183416246,0.224377824,-0.389916155,0.071347708,1.492726822,0.866220141,1.560321035,-1.202902295,-0.003509179,1.339256693,0.921920242,0.615789176,0.732150815,0.655978465,1.736345537,2.129985143,1.273326808,1.333500326,0.867829474,1.017010383,0.912873271,2.398829246,1.655128265,1.730012941
Robinsoniella,q_Timepoint1,0.982826174,0.996640842,0.003975599,0.041503232,0.068114596,1,0.592529022,1,0.670674085,0.016073605,0.722545719,1,0.854294808,1,1,-0.877192612,0.814660922,-2.790749752,-2.144213131,-2.310234751,-0.174943008,1.668743381,1.187749422,1.711976712,2.531195427,0.559233212,0.17979593,-1.436302864,-0.784201048,-0.199637888,0.801329963,0.702283716,0.676143912,0.738819096,0.860867916,1.10929447,0.89689459,1.13068951,1.150593329,0.849247257,0.89698102,1.004681672,1.207910215,1.341193826,1.404535851
Dysgonomonas,q_Timepoint1,0.982826174,1,0.003975599,0.00118992,7.15E-04,1,0.892060655,1,0.992918993,1,0.296669219,0.523101961,1,1,1,-0.348359543,0.286283755,-2.750007699,-3.46677444,-3.042769593,-0.081843877,-1.183416246,0.224377824,-0.389916155,0.071347708,1.492726822,0.866220141,1.560321035,-1.202902295,-0.003509179,1.339256693,0.921920242,0.615789176,0.732150815,0.655978465,1.736345537,2.129985143,1.273326808,1.333500326,0.867829474,1.017010383,0.912873271,2.398829246,1.655128265,1.730012941
Lactococcus,q_DietTime3,0.982826174,0.996640842,0.947679075,0.840098819,0.829933113,1,0.774566962,1,0.834968192,1.41E-11,1.25E-11,2.42E-13,1,1,1,0.28814894,0.220822225,0.096445607,0.272377818,0.194791767,-0.299063765,-0.575388957,-0.3218426,-0.267239737,4.275571459,4.158880337,4.477544852,0.189936429,0.230345874,0.303031035,0.437002819,0.423594509,0.377976763,0.377651321,0.376064217,0.608629236,0.464090621,0.532528079,0.45580963,0.521801589,0.506183899,0.500705881,0.67457178,0.604934941,0.602905014
[Eubacterium]_xylanophilum_group,q_DietTime3,0.982826174,0.996640842,0.394448942,0.859695011,0.978193922,1,0.956111093,1,0.69195439,0.279326482,2.91E-05,5.40E-06,1,1,0.830020967,-0.169973728,-0.426475495,-0.674796599,-0.204830643,-0.058657861,0.408886508,0.121247316,0.148033044,0.536613055,-0.750367004,-3.263399114,-3.15185505,0.029962524,-0.395193736,-1.055048281,0.449263477,0.435218064,0.396861315,0.396535961,0.394949287,0.625720419,0.492182081,0.560677713,0.484606442,0.548848692,0.630893526,0.563045187,0.715895466,0.751000484,0.699747939
Acetatifactor,q_DietTime3,0.982826174,0.663489401,0.627094765,0.840098819,0.778069222,1,0.343409076,1,0.602449112,0.00105668,9.26E-04,9.95E-04,0.625677525,1,0.830020967,-0.794472048,-1.359048032,-0.593243452,0.356485292,0.386548458,1.712353841,1.549182401,0.456349951,1.105908574,3.402819107,3.108784093,3.00394855,-1.919630504,-1.065018914,-1.401176061,0.661603464,0.769851003,0.507090435,0.50205435,0.500502895,1.003835313,0.624375383,0.676169953,0.603204694,0.800067969,0.775205227,0.766568054,0.983316294,0.917387297,0.912683727
Romboutsia,q_DietTime3,0.982826174,0.996640842,0.712207042,1,0.763758345,1,1,1,0.992918993,0.180170165,0.0046503,0.002495311,1,0.699357435,1,0.324349205,-0.808570529,0.73319438,-0.11222611,-0.662458288,1.182480312,0.058566084,0.980773348,-0.371321438,1.816396671,3.686036223,3.875219877,-0.084124533,-2.898207036,-1.142211281,0.966168145,0.890328457,0.735459745,0.818570313,0.817138776,1.32223362,1.068318328,1.196054347,1.134032414,1.055569301,1.113851645,1.085294086,1.506428431,1.531145267,1.522424568
Lachnospiraceae_UCG-001,q_DietTime3,0.982826174,0.996640842,0.373303218,0.033903737,0.068114596,1,0.640251276,1,0.670674085,1,1,0.004574716,1,1,1,-1.140833651,-0.541677943,1.326337231,2.272605421,1.89506637,1.313971213,1.6712488,0.778747116,1.670502591,0,0,-5.616180902,0,0,0,0.773073326,0.718321102,0.734377899,0.711042204,0.690707911,1.079998546,0.991494633,1.035366756,0.975320485,0.52947808,0.513860867,1.641583021,0.585154552,0.505092426,0.503038155
Lactococcus,q_DietTime2,0.982826174,0.996640842,0.947679075,0.840098819,0.829933113,1,0.774566962,1,0.834968192,1.41E-11,1.25E-11,2.42E-13,1,1,1,0.28814894,0.220822225,0.096445607,0.272377818,0.194791767,-0.299063765,-0.575388957,-0.3218426,-0.267239737,4.275571459,4.158880337,4.477544852,0.189936429,0.230345874,0.303031035,0.437002819,0.423594509,0.377976763,0.377651321,0.376064217,0.608629236,0.464090621,0.532528079,0.45580963,0.521801589,0.506183899,0.500705881,0.67457178,0.604934941,0.602905014
