taxon,significance_filter,q_Treatment1,q_Diet1,q_Timepoint1,q_Timepoint2,q_Timepoint3,q_TreatDiet1,q_TreatTime1,q_TreatTime2,q_TreatTime3,q_DietTime1,q_DietTime2,q_DietTime3,q_TreatDietTime1,q_TreatDietTime2,q_TreatDietTime3,lfc_Treatment1,lfc_Diet1,lfc_Timepoint1,lfc_Timepoint2,lfc_Timepoint3,lfc_TreatDiet1,lfc_TreatTime1,lfc_TreatTime2,lfc_TreatTime3,lfc_DietTime1,lfc_DietTime2,lfc_DietTime3,lfc_TreatDietTime1,lfc_TreatDietTime2,lfc_TreatDietTime3,se_Treatment1,se_Diet1,se_Timepoint1,se_Timepoint2,se_Timepoint3,se_TreatDiet1,se_TreatTime1,se_TreatTime2,se_TreatTime3,se_DietTime1,se_DietTime2,se_DietTime3,se_TreatDietTime1,se_TreatDietTime2,se_TreatDietTime3
A2,q_Timepoint3,0.982826174,0.996640842,0.038461424,0.001489844,1.07E-04,1,0.892060655,1,0.819990568,0.064724424,0.012547628,0.081889017,1,1,0.830020967,0.263075787,-0.463953246,1.4681162,2.017512297,2.471065592,0.059421005,-0.486646341,-0.857855378,-0.425937912,1.564725775,1.986669044,1.401808063,0.665941913,0.942376968,1.126747987,0.650773722,0.625149647,0.496580371,0.496261703,0.49470776,0.907285021,0.641024335,0.703928902,0.63169569,0.68466511,0.675250011,0.664060351,0.927663393,0.876889805,0.87065915
Akkermansia,q_Timepoint3,0.982826174,0.996640842,0.250183288,0.00118992,3.75E-04,1,0.70091982,1,0.819990568,0.255366166,0.048563759,0.012115477,0.625677525,1,1,0.379515521,0.608218228,-1.366012152,-2.766895843,-2.951537771,-1.410903183,-1.368389439,-0.088313021,-0.623916594,1.362336778,2.163708003,2.589685527,2.343383692,1.004032087,1.064372216,0.879692333,0.844069396,0.655465654,0.655160679,0.65367367,1.226534323,0.882735896,0.946907087,0.894106701,0.917579415,0.903031788,0.897937611,1.272206478,1.232818261,1.241449962
Dysgonomonas,q_Timepoint3,0.982826174,1,0.003975599,0.00118992,7.15E-04,1,0.892060655,1,0.992918993,1,0.296669219,0.523101961,1,1,1,-0.348359543,0.286283755,-2.750007699,-3.46677444,-3.042769593,-0.081843877,-1.183416246,0.224377824,-0.389916155,0.071347708,1.492726822,0.866220141,1.560321035,-1.202902295,-0.003509179,1.339256693,0.921920242,0.615789176,0.732150815,0.655978465,1.736345537,2.129985143,1.273326808,1.333500326,0.867829474,1.017010383,0.912873271,2.398829246,1.655128265,1.730012941
Anaeroplasma,q_Timepoint3,0.982826174,0.996640842,0.038461424,0.045366898,8.07E-04,1,0.892060655,1,0.992918993,0.005080256,0.004152468,0.000599172,0.854294808,1,1,-0.367306079,0.395295732,1.520962607,1.32667432,2.049687661,0.798731269,0.494977541,0.798096747,0.17488011,-2.579116598,-2.609107148,-2.882841714,-1.136187317,-0.958267968,-0.875996243,0.624339837,0.594342482,0.488795793,0.488476448,0.486919194,0.859863464,0.654072296,0.721042154,0.649248661,0.735706323,0.76747461,0.699931982,1.04567781,0.992395211,0.944891036
Clostridia_UCG-014,q_Timepoint3,0.982826174,0.996640842,0.038461424,0.009780867,0.001209846,1,0.343409076,1,0.467752284,0.009584505,0.160846339,0.010766366,1,1,1,0.56443022,0.554455721,1.917325146,1.990197851,2.264750169,1.161692857,-1.815557779,-1.166472388,-1.461586705,-3.179162981,-1.840471492,-2.847160873,-0.251383423,0.421812441,0.153954854,0.918925901,1.095142405,0.614547568,0.546451908,0.530176221,1.570352741,0.784956256,0.766240369,0.697630441,0.986862358,0.974873255,0.92875494,1.343027112,1.458546314,1.436620121
Lachnospiraceae_NK4A136_group,q_Timepoint3,0.982826174,0.663489401,0.298838029,0.045366898,0.016360278,1,0.774566962,1,0.739407202,0.262439906,0.555405663,0.388855632,1,1,0.830020967,0.949616639,-1.021503206,1.042123374,1.490610876,1.724621216,0.494080721,-0.869280367,-1.028392935,-0.576420645,1.097149844,0.65624794,0.911780053,-0.310991733,-0.13246053,-1.191520315,0.616578991,0.593965212,0.545908714,0.545594436,0.54406196,0.859169189,0.717194472,0.783356218,0.713079021,0.761667563,0.746656252,0.741396855,1.03848299,0.991616887,0.989738953
Akkermansia,q_Timepoint2,0.982826174,0.996640842,0.250183288,0.00118992,3.75E-04,1,0.70091982,1,0.819990568,0.255366166,0.048563759,0.012115477,0.625677525,1,1,0.379515521,0.608218228,-1.366012152,-2.766895843,-2.951537771,-1.410903183,-1.368389439,-0.088313021,-0.623916594,1.362336778,2.163708003,2.589685527,2.343383692,1.004032087,1.064372216,0.879692333,0.844069396,0.655465654,0.655160679,0.65367367,1.226534323,0.882735896,0.946907087,0.894106701,0.917579415,0.903031788,0.897937611,1.272206478,1.232818261,1.241449962
Dysgonomonas,q_Timepoint2,0.982826174,1,0.003975599,0.00118992,7.15E-04,1,0.892060655,1,0.992918993,1,0.296669219,0.523101961,1,1,1,-0.348359543,0.286283755,-2.750007699,-3.46677444,-3.042769593,-0.081843877,-1.183416246,0.224377824,-0.389916155,0.071347708,1.492726822,0.866220141,1.560321035,-1.202902295,-0.003509179,1.339256693,0.921920242,0.615789176,0.732150815,0.655978465,1.736345537,2.129985143,1.273326808,1.333500326,0.867829474,1.017010383,0.912873271,2.398829246,1.655128265,1.730012941
A2,q_Timepoint2,0.982826174,0.996640842,0.038461424,0.001489844,1.07E-04,1,0.892060655,1,0.819990568,0.064724424,0.012547628,0.081889017,1,1,0.830020967,0.263075787,-0.463953246,1.4681162,2.017512297,2.471065592,0.059421005,-0.486646341,-0.857855378,-0.425937912,1.564725775,1.986669044,1.401808063,0.665941913,0.942376968,1.126747987,0.650773722,0.625149647,0.496580371,0.496261703,0.49470776,0.907285021,0.641024335,0.703928902,0.63169569,0.68466511,0.675250011,0.664060351,0.927663393,0.876889805,0.87065915
Clostridia_UCG-014,q_Timepoint2,0.982826174,0.996640842,0.038461424,0.009780867,0.001209846,1,0.343409076,1,0.467752284,0.009584505,0.160846339,0.010766366,1,1,1,0.56443022,0.554455721,1.917325146,1.990197851,2.264750169,1.161692857,-1.815557779,-1.166472388,-1.461586705,-3.179162981,-1.840471492,-2.847160873,-0.251383423,0.421812441,0.153954854,0.918925901,1.095142405,0.614547568,0.546451908,0.530176221,1.570352741,0.784956256,0.766240369,0.697630441,0.986862358,0.974873255,0.92875494,1.343027112,1.458546314,1.436620121
