firm_sums,ID,bac_sums,firm_bac_ratio
32071,1/1/2001,20707,1.548799923
45097,1/1/2002,7395,6.098309669
27333,1/1/2003,9571,2.855814439
36357,1/1/2004,7852,4.630285278
11927,10/1/2001,13194,0.903971502
8866,10/1/2002,4376,2.026051188
11205,10/1/2003,2894,3.871803732
6883,10/1/2004,1132,6.080388693
25338,11/1/2001,27595,0.918209821
42682,11/1/2002,18240,2.34002193
27945,11/1/2003,8870,3.150507328
45488,11/1/2004,13721,3.315210262
15371,12/1/2001,18240,0.842708333
31287,12/1/2002,12867,2.43156913
31266,12/1/2003,11052,2.828990228
32720,12/1/2004,7741,4.226844077
42719,13-1-1,11448,3.731568833
13093,13-1-2,11950,1.095648536
30772,13-1-3,16893,1.821582904
19512,13-1-4,6729,2.899687918
18354,14-1-1,18679,0.982600782
15502,15-1-1,14557,1.064917222
17064,15-1-2,12836,1.329386102
21582,15-1-3,20357,1.060175861
23836,15-1-4,16746,1.423384689
15069,16-1-1,18328,0.822184636
13669,16-1-2,8591,1.591083692
17772,16-1-3,13836,1.284475282
19131,16-1-4,8533,2.242001641
18963,17-2-1,24127,0.78596593
26652,17-2-2,7820,3.408184143
19564,17-2-3,4673,4.186603895
34475,17-2-4,8274,4.166666667
29141,18-2-1,19837,1.469022534
48656,18-2-2,13789,3.528609761
33848,18-2-3,8340,4.058513189
50173,18-2-4,22718,2.208513073
18454,19-2-1,12702,1.452842072
35024,19-2-2,5069,6.909449596
45714,19-2-3,8871,5.153195807
23966,19-2-4,4945,4.846511628
29385,2/1/2001,30491,0.963727001
30842,2/1/2002,8867,3.47829029
31063,2/1/2003,6654,4.668319808
35436,2/1/2004,8180,4.33202934
15530,20-2-1,15965,0.972752897
28372,20-2-2,17946,1.580965118
39251,20-2-3,13588,2.888651752
35523,20-2-4,10734,3.309390721
28867,21-2-1,35488,0.813429892
33445,21-2-2,24076,1.389142715
33577,21-2-3,28826,1.164816485
44052,21-2-4,21100,2.087772512
28715,22-2-1,19753,1.453703235
30477,22-2-2,25294,1.204910255
25409,22-2-3,19893,1.277283467
27152,22-2-4,15677,1.731964024
15007,23-2-1,17400,0.862471264
10960,23-2-2,12616,0.86873811
11721,23-2-3,19259,0.608598577
10802,23-2-4,13611,0.793622805
10842,24-2-1,7582,1.429965708
18456,24-2-2,20007,0.922477133
17110,24-2-3,21503,0.795702925
25814,24-2-4,17524,1.47306551
