"","counts"
"1-1-1",47
"1-1-2",82
"1-1-3",82
"1-1-4",83
"10-1-1",84
"10-1-2",92
"10-1-3",82
"10-1-4",62
"11-1-1",55
"11-1-2",99
"11-1-3",82
"11-1-4",96
"12-1-1",57
"12-1-2",87
"12-1-3",89
"12-1-4",95
"13-1-1",167
"13-1-2",115
"13-1-3",140
"13-1-4",158
"15-1-1",95
"15-1-2",133
"15-1-3",119
"15-1-4",159
"16-1-1",78
"16-1-2",92
"16-1-3",132
"16-1-4",144
"17-2-1",50
"17-2-2",85
"17-2-3",80
"17-2-4",91
"18-2-1",98
"18-2-2",136
"18-2-3",113
"18-2-4",126
"19-2-1",111
"19-2-2",108
"19-2-3",112
"19-2-4",86
"2-1-1",142
"2-1-2",115
"2-1-3",104
"2-1-4",109
"20-2-1",44
"20-2-2",96
"20-2-3",93
"20-2-4",96
"21-2-1",86
"21-2-2",100
"21-2-3",113
"21-2-4",146
"22-2-1",123
"22-2-2",98
"22-2-3",158
"22-2-4",145
"23-2-1",51
"23-2-2",68
"23-2-3",82
"23-2-4",91
"24-2-1",69
"24-2-2",98
"24-2-3",112
"24-2-4",101
"25-2-1",69
"25-2-2",96
"25-2-3",85
"25-2-4",85
"26-2-1",132
"26-2-2",151
"26-2-3",122
"26-2-4",118
"27-2-1",116
"27-2-2",113
"27-2-3",93
"27-2-4",103
"28-2-1",69
"28-2-2",89
"28-2-3",90
"28-2-4",90
"29-2-1",127
"29-2-2",152
"29-2-3",131
"29-2-4",171
"3-1-1",47
"3-1-2",107
"3-1-3",88
"3-1-4",106
"31-2-1",60
"31-2-2",109
"31-2-3",129
"31-2-4",124
"32-2-1",72
"32-2-2",103
"32-2-3",94
"32-2-4",130
"33-3-1",71
"33-3-2",92
"33-3-3",84
"33-3-4",100
"34-3-1",65
"34-3-2",94
"34-3-3",76
"34-3-4",90
"35-3-1",110
"35-3-2",103
"35-3-3",87
"35-3-4",100
"36-3-1",73
"36-3-2",104
"36-3-3",93
"36-3-4",81
"37-3-1",143
"37-3-2",146
"37-3-3",138
"37-3-4",159
"38-3-1",70
"38-3-2",103
"38-3-3",116
"38-3-4",142
"39-3-1",100
"39-3-2",98
"39-3-3",123
"39-3-4",105
"4-1-1",63
"4-1-2",99
"4-1-3",88
"4-1-4",98
"40-3-1",83
"40-3-2",116
"40-3-3",102
"40-3-4",149
"41-3-1",89
"41-3-2",122
"41-3-3",111
"41-3-4",113
"42-3-1",105
"42-3-2",124
"42-3-3",119
"42-3-4",112
"43-3-1",101
"43-3-2",143
"43-3-3",119
"43-3-4",112
"44-3-1",96
"44-3-2",112
"44-3-3",96
"44-3-4",112
"45-3-1",97
"45-3-2",113
"45-3-3",122
"45-3-4",145
"46-3-1",107
"46-3-2",113
"46-3-3",126
"46-3-4",157
"47-3-1",90
"47-3-2",97
"47-3-3",91
"47-3-4",171
"48-3-1",98
"48-3-2",105
"48-3-3",116
"48-3-4",105
"5-1-1",87
"5-1-2",148
"5-1-3",141
"5-1-4",138
"6-1-1",59
"6-1-2",114
"6-1-3",131
"6-1-4",129
"7-1-1",47
"7-1-2",94
"7-1-3",127
"7-1-4",119
"8-1-1",178
"8-1-2",158
"8-1-3",161
"8-1-4",157
